Dataset#,Data_Type,Dataset,Algorithm,PE_Type,Hardware ,Quantization_Method,Optimization_method,Iso_Accuracy_within_3%,Link
1,4-bit,CIFAR10,ResNet-20,Single_Precision,Digital,PACT+DOREFA+None+None,QAT,Yes,https://arxiv.org/abs/1805.06085
2,4-bit,SVHN,SVHN,Single_Precision,Digital,PACT+DOREFA+None+None,QAT,Yes,
3,4-bit,IMAGENET,AlexNet,Single_Precision,Digital,PACT+DOREFA+None+None,QAT,Yes,
4,4-bit,IMAGENET,ResNet-18,Single_Precision,Digital,PACT+DOREFA+None+None,QAT,Yes,
5,4-bit,IMAGENET,ResNet-50,Single_Precision,Digital,PACT+DOREFA+None+None,QAT,Yes,
6,3-bit,CIFAR10,ResNet-20,Single_Precision,Digital,PACT+DOREFA+None+None,QAT,Yes,
7,3-bit,SVHN,SVHN,Single_Precision,Digital,PACT+DOREFA+None+None,QAT,Yes,
8,3-bit,IMAGENET,AlexNet,Single_Precision,Digital,PACT+DOREFA+None+None,QAT,Yes,
9,3-bit,IMAGENET,ResNet-18,Single_Precision,Digital,PACT+DOREFA+None+None,QAT,Yes,
10,3-bit,IMAGENET,ResNet-50,Single_Precision,Digital,PACT+DOREFA+None+None,QAT,Yes,
11,2-bit,CIFAR10,ResNet-20,Single_Precision,Digital,PACT+DOREFA+None+None,QAT,Yes,
12,2-bit,SVHN,SVHN,Single_Precision,Digital,PACT+DOREFA+None+None,QAT,Yes,
13,2-bit,IMAGENET,AlexNet,Single_Precision,Digital,PACT+DOREFA+None+None,QAT,Yes,
14,2-bit,IMAGENET,ResNet-18,Single_Precision,Digital,PACT+DOREFA+None+None,QAT,No,
15,2-bit,IMAGENET,ResNet-50,Single_Precision,Digital,PACT+DOREFA+None+None,QAT,No,
16,4-bit,CIFAR10,ResNet-20,Single_Precision,Digital,DOREFA+DOREFA+None+None,QAT,Yes,
17,4-bit,SVHN,SVHN,Single_Precision,Digital,DOREFA+DOREFA+None+None,QAT,Yes,
18,4-bit,IMAGENET,AlexNet,Single_Precision,Digital,DOREFA+DOREFA+None+None,QAT,Yes,
19,4-bit,IMAGENET,ResNet-18,Single_Precision,Digital,DOREFA+DOREFA+None+None,QAT,Yes,
20,4-bit,IMAGENET,ResNet-50,Single_Precision,Digital,DOREFA+DOREFA+None+None,QAT,No,
21,3-bit,CIFAR10,ResNet-20,Single_Precision,Digital,DOREFA+DOREFA+None+None,QAT,Yes,
22,3-bit,SVHN,SVHN,Single_Precision,Digital,DOREFA+DOREFA+None+None,QAT,Yes,
23,3-bit,IMAGENET,AlexNet,Single_Precision,Digital,DOREFA+DOREFA+None+None,QAT,Yes,
24,3-bit,IMAGENET,ResNet-18,Single_Precision,Digital,DOREFA+DOREFA+None+None,QAT,No,
25,3-bit,IMAGENET,ResNet-50,Single_Precision,Digital,DOREFA+DOREFA+None+None,QAT,No,
26,2-bit,CIFAR10,ResNet-20,Single_Precision,Digital,DOREFA+DOREFA+None+None,QAT,No,
27,2-bit,SVHN,SVHN,Single_Precision,Digital,DOREFA+DOREFA+None+None,QAT,Yes,
28,2-bit,IMAGENET,AlexNet,Single_Precision,Digital,DOREFA+DOREFA+None+None,QAT,Yes,
29,2-bit,IMAGENET,ResNet-18,Single_Precision,Digital,DOREFA+DOREFA+None+None,QAT,No,
30,2-bit,IMAGENET,ResNet-50,Single_Precision,Digital,DOREFA+DOREFA+None+None,QAT,No,
31,5-bit,CIFAR10,ResNet-20,Single_Precision,Digital,DOREFA+DOREFA+None+None,QAT,Yes,
32,5-bit,SVHN,SVHN,Single_Precision,Digital,DOREFA+DOREFA+None+None,QAT,Yes,
33,5-bit,IMAGENET,AlexNet,Single_Precision,Digital,DOREFA+DOREFA+None+None,QAT,Yes,
34,5-bit,IMAGENET,ResNet-18,Single_Precision,Digital,DOREFA+DOREFA+None+None,QAT,Yes,
35,5-bit,IMAGENET,ResNet-50,Single_Precision,Digital,DOREFA+DOREFA+None+None,QAT,No,
36,2-bit,CIFAR10,ResNet-20,Single_Precision,Digital,PACT+SWAB+None+None,QAT,Yes,https://proceedings.mlsys.org/paper_files/paper/2019/file/c443e9d9fc984cda1c5cc447fe2c724d-Paper.pdf
37,2-bit,CIFAR10,ResNet-32,Single_Precision,Digital,PACT+SWAB+None+None,QAT,Yes,
38,2-bit,CIFAR10,ResNet-44,Single_Precision,Digital,PACT+SWAB+None+None,QAT,Yes,
39,2-bit,CIFAR10,ResNet-56,Single_Precision,Digital,PACT+SWAB+None+None,QAT,Yes,
40,2-bit,IMAGENET,AlexNet,Single_Precision,Digital,PACT+SWAB+None+None,QAT,Yes,
41,2-bit,IMAGENET,ResNet-18,Single_Precision,Digital,PACT+SWAB+None+None,QAT,No,
42,2-bit,IMAGENET,ResNet-50,Single_Precision,Digital,PACT+SWAB+None+None,QAT,Yes,
43,8-bit,IMAGENET,ResNet-18,Single_Precision,Digital,LSQ_KD+LSQ_KD+None+None,QAT,Yes,https://arxiv.org/abs/1902.08153
44,8-bit,IMAGENET,ResNet-34,Single_Precision,Digital,LSQ_KD+LSQ_KD+None+None,QAT,Yes,
45,8-bit,IMAGENET,ResNet-50,Single_Precision,Digital,LSQ_KD+LSQ_KD+None+None,QAT,Yes,
46,4-bit,IMAGENET,ResNet-18,Single_Precision,Digital,LSQ_KD+LSQ_KD+None+None,QAT,Yes,
47,4-bit,IMAGENET,ResNet-34,Single_Precision,Digital,LSQ_KD+LSQ_KD+None+None,QAT,Yes,
48,4-bit,IMAGENET,ResNet-50,Single_Precision,Digital,LSQ_KD+LSQ_KD+None+None,QAT,Yes,
49,3-bit,IMAGENET,ResNet-18,Single_Precision,Digital,LSQ_KD+LSQ_KD+None+None,QAT,Yes,
50,3-bit,IMAGENET,ResNet-34,Single_Precision,Digital,LSQ_KD+LSQ_KD+None+None,QAT,Yes,
51,3-bit,IMAGENET,ResNet-50,Single_Precision,Digital,LSQ_KD+LSQ_KD+None+None,QAT,Yes,
52,2-bit,IMAGENET,ResNet-18,Single_Precision,Digital,LSQ_KD+LSQ_KD+None+None,QAT,Yes,
53,2-bit,IMAGENET,ResNet-34,Single_Precision,Digital,LSQ_KD+LSQ_KD+None+None,QAT,Yes,
54,2-bit,IMAGENET,ResNet-50,Single_Precision,Digital,LSQ_KD+LSQ_KD+None+None,QAT,Yes,
55,8-bit,IMAGENET,ResNet-18,Single_Precision,Digital,FAQ+FAQ+None+None,QAT,Yes,https://arxiv.org/abs/1809.04191
56,8-bit,IMAGENET,ResNet-34,Single_Precision,Digital,FAQ+FAQ+None+None,QAT,Yes,
57,8-bit,IMAGENET,ResNet-50,Single_Precision,Digital,FAQ+FAQ+None+None,QAT,Yes,
58,8-bit,IMAGENET,ResNet-152,Single_Precision,Digital,FAQ+FAQ+None+None,QAT,Yes,
59,8-bit,IMAGENET,Inception-v3,Single_Precision,Digital,FAQ+FAQ+None+None,QAT,Yes,
60,8-bit,IMAGENET,Desnet-161,Single_Precision,Digital,FAQ+FAQ+None+None,QAT,Yes,
61,8-bit,IMAGENET,VGG-16bn,Single_Precision,Digital,FAQ+FAQ+None+None,QAT,Yes,
62,4-bit,IMAGENET,ResNet-18,Single_Precision,Digital,FAQ+FAQ+None+None,QAT,Yes,
63,4-bit,IMAGENET,ResNet-34,Single_Precision,Digital,FAQ+FAQ+None+None,QAT,Yes,
64,4-bit,IMAGENET,ResNet-50,Single_Precision,Digital,FAQ+FAQ+None+None,QAT,Yes,
65,4-bit,IMAGENET,ResNet-152,Single_Precision,Digital,FAQ+FAQ+None+None,QAT,Yes,
66,4-bit,IMAGENET,Inception-v3,Single_Precision,Digital,FAQ+FAQ+None+None,QAT,Yes,
